XY
realPoint:(62,206)
point:(710.2856666347618, -128.03245992517225)   distance=651.4725874846507
point:(1000.7784359970726, 340.32789901244786)   distance=189.5990021646598
point:(958.4479756209662, 806.1650442957914)   distance=315.8109658895006
point:(919.9956493458872, 23.041495826177993)   distance=474.6708727777608
point:(906.5423736476998, 74.60051271730947)   distance=422.5856575812747
point:(776.674535102404, 160.29372764021286)   distance=356.5618860168038
point:(869.2753421106097, 314.7525250622096)   distance=183.9169672133268
point:(592.8251530045093, -174.2960303383269)   distance=735.7612716165163
point:(809.6700490706933, 20.501225851595564)   distance=483.9035259105594
point:(684.5244720670371, -2.7224574932993164)   distance=541.8510231843582
point:(869.2753421106097, 314.7525250622096)   distance=183.9169672133268
point:(542.6451233925558, -520.137479213148)   distance=1076.1128662626004
point:(738.6716552419128, 295.74672343950436)   distance=254.22386986988954
point:(878.61239562235, -424.9133154502108)   distance=922.0417233362506
point:(828.544447781554, 440.472287847314)   distance=86.4859038077225     ¡Ì
point:(828.544447781554, 440.472287847314)   distance=86.4859038077225     ¡Ì
point:(1034.2226130102893, 215.66235726287903)   distance=314.3457498047544
point:(782.8061875602964, 561.8525446430926)   distance=128.7241875933203     ¡Ì
point:(869.2753421106097, 314.7525250622096)   distance=183.9169672133268
point:(962.3268930916543, 460.65393477269095)   distance=77.3925111174599     ¡Ì
point:(512.6072927167804, -424.8751634144651)   distance=997.6543560217989
point:(513.3808151461201, 551.9854218246606)   distance=384.5703583118021
point:(953.3337105094993, 330.3639496582303)   distance=176.88431947555407
point:(904.9988705474635, 184.6932562877795)   distance=312.500363714109
point:(608.9673753909823, 283.31049414433215)   distance=356.2398096849154
point:(918.8679842940339, 576.6404645436082)   distance=83.43272880333016     ¡Ì
point:(918.8679842940339, 576.6404645436082)   distance=83.43272880333016     ¡Ì
point:(732.0605614468371, 678.8932954495456)   distance=243.53552654265718
point:(918.8679842940339, 576.6404645436082)   distance=83.43272880333016     ¡Ì
point:(940.1753064576931, 327.7472861122587)   distance=175.4384224872861
point:(608.9673753909823, 283.31049414433215)   distance=356.2398096849154
point:(961.4238297445656, -88.44379922905819)   distance=589.3135115311526
point:(869.2753421106097, 314.7525250622096)   distance=183.9169672133268
point:(775.5502747127248, -626.8624326404713)   distance=1130.0872112015022
point:(828.544447781554, 440.472287847314)   distance=86.4859038077225     ¡Ì
point:(647.6437978443251, 553.6341970701102)   distance=252.78214062378657
point:(732.0605614468371, 678.8932954495456)   distance=243.53552654265718
point:(809.6700490706933, 20.501225851595564)   distance=483.9035259105594
point:(694.9586901815346, 997.1915237340197)   distance=538.3391156414428
point:(1983.365008999303, 1426.0180021257834)   distance=1431.7089687173975
point:(1941.0743110516028, 1318.8907918943844)   distance=1331.1157300043324
point:(1405.4404652973208, 1267.1920084760181)   distance=924.5361428650925
point:(262.11930394997387, 1037.261205313408)   distance=831.3575548507164
point:(1034.2226130102893, 215.66235726287903)   distance=314.3457498047544
point:(904.9988705474635, 184.6932562877795)   distance=312.500363714109
point:(870.4017096042119, 688.2874883251998)   distance=192.7376001183147
point:(1100.8672892375107, 823.3046548016504)   distance=386.35321029040267
point:(730.0527462247953, -240.9614801260393)   distance=755.9536018633988
point:(642.8967571746275, -497.15347196163543)   distance=1025.3750359604003
point:(656.7051690248721, 113.77368603662967)   distance=450.74521020357633
point:(695.66140948922, 426.8602132494701)   distance=210.37534592060138
point:(738.6716552419128, 295.74672343950436)   distance=254.22386986988954
point:(627.1783738765116, -378.9251486173632)   distance=915.6629544475044
point:(1116.3770498394276, 609.4764938653607)   distance=249.2037599385928
point:(551.782772252064, -26.555811752091813)   distance=625.4784720411043
point:(563.6777782146521, 419.8177109791593)   distance=339.21950996914245
point:(546.1921531478094, -696.7508985465527)   distance=1243.3871103211013
point:(584.2167772279017, -130.4811588228564)   distance=699.7844309419453
point:(902.2463205703776, 903.7393290738701)   distance=406.8229143231873
point:(355.15412383097237, -925.8672661739029)   distance=1521.4815593406197
point:(1066.8672605719664, 355.57917561039187)   distance=223.34488879016803
point:(1000.7784359970726, 340.32789901244786)   distance=189.5990021646598
point:(904.9988705474635, 184.6932562877795)   distance=312.500363714109
point:(649.2496066751106, 142.46377132017926)   distance=430.81166706485357
point:(869.2753421106097, 314.7525250622096)   distance=183.9169672133268
point:(870.4017096042119, 688.2874883251998)   distance=192.7376001183147
point:(821.4661922081923, -36.63083654086245)   distance=538.5378565895619
point:(546.1921531478094, -696.7508985465527)   distance=1243.3871103211013
point:(594.6188203072286, 676.0686749014244)   distance=348.8476473837648
point:(695.66140948922, 426.8602132494701)   distance=210.37534592060138
point:(962.3268930916543, 460.65393477269095)   distance=77.3925111174599     ¡Ì
point:(782.8061875602964, 561.8525446430926)   distance=128.7241875933203     ¡Ì
point:(962.3268930916543, 460.65393477269095)   distance=77.3925111174599     ¡Ì
point:(940.1753064576931, 327.7472861122587)   distance=175.4384224872861
point:(962.3268930916543, 460.65393477269095)   distance=77.3925111174599     ¡Ì
point:(967.0424192098602, 564.3505760539612)   distance=99.35439144209663     ¡Ì
point:(869.2753421106097, 314.7525250622096)   distance=183.9169672133268
point:(962.3268930916543, 460.65393477269095)   distance=77.3925111174599     ¡Ì
point:(536.5864768779302, 794.1636467434128)   distance=464.8124992471417
point:(1009.6422647793528, 704.251253528387)   distance=237.3314464886305
point:(526.3880484774156, -523.4191917260484)   distance=1084.6169248841202
point:(738.6716552419128, 295.74672343950436)   distance=254.22386986988954
point:(870.4017096042119, 688.2874883251998)   distance=192.7376001183147
point:(866.6844866193812, 257.2827323760908)   distance=241.26853435191185
point:(844.4481264274767, 562.872895927369)   distance=82.42952500412285     ¡Ì
point:(933.2501017314208, 611.7829373521928)   distance=121.3082569041543     ¡Ì
point:(563.6869483138121, -178.6099591061236)   distance=752.0342604945737
point:(732.0605614468371, 678.8932954495456)   distance=243.53552654265718
point:(1097.0087454195207, 487.4051540256009)   distance=203.23536057015323
point:(643.9115377220432, 162.44355077611817)   distance=417.6987630839297
point:(828.544447781554, 440.472287847314)   distance=86.4859038077225     ¡Ì
point:(647.6437978443251, 553.6341970701102)   distance=252.78214062378657
point:(647.6437978443251, 553.6341970701102)   distance=252.78214062378657
point:(809.6700490706933, 20.501225851595564)   distance=483.9035259105594
point:(958.4479756209662, 806.1650442957914)   distance=315.8109658895006
point:(1000.7784359970726, 340.32789901244786)   distance=189.5990021646598
point:(660.0641162592832, -499.55601512837234)   distance=1023.6453922086939
point:(695.66140948922, 426.8602132494701)   distance=210.37534592060138
point:(1587.392668977735, 1391.7010801675008)   distance=1131.9379029986403
point:(988.0153160914062, 1003.3262643187591)   distance=514.9807429397306
point:(192.24410063596258, 943.5534965818775)   distance=831.788054495693
point:(536.5864768779302, 794.1636467434128)   distance=464.8124992471417
point:(763.9011329928986, -390.76593244984906)   distance=897.2480515526804
point:(828.544447781554, 440.472287847314)   distance=86.4859038077225     ¡Ì
point:(837.6581971467806, -123.63078192634748)   distance=623.1829315885188
point:(647.6437978443251, 553.6341970701102)   distance=252.78214062378657
point:(962.3268930916543, 460.65393477269095)   distance=77.3925111174599     ¡Ì
point:(649.2496066751106, 142.46377132017926)   distance=430.81166706485357
point:(760.3048728896057, -464.31817986968963)   distance=970.5704662522127
point:(935.7150330921155, 50.29448152402347)   distance=448.649043488078
point:(837.6581971467806, -123.63078192634748)   distance=623.1829315885188
X
point:(816.928069022188, 795.5950061174656)   distance=77.07193097781203     ¡Ì
point:(594.6188203072286, 676.0686749014244)   distance=299.3811796927714
point:(975.627823078233, 271.30264371579216)   distance=81.62782307823295     ¡Ì
point:(620.3646380356693, -333.55499815531834)   distance=273.63536196433074
point:(649.0076042289168, -327.56816753548924)   distance=244.99239577108324
point:(962.3268930916543, 460.65393477269095)   distance=68.32689309165426     ¡Ì
point:(690.9785612383582, -32.2804439747141)   distance=203.02143876164178
point:(710.2856666347618, -128.03245992517225)   distance=183.7143333652382
point:(1000.7784359970726, 340.32789901244786)   distance=106.77843599707262     ¡Ì
point:(958.4479756209662, 806.1650442957914)   distance=64.44797562096619     ¡Ì
point:(919.9956493458872, 23.041495826177993)   distance=25.99564934588716     ¡Ì
point:(906.5423736476998, 74.60051271730947)   distance=12.542373647699833     ¡Ì
point:(776.674535102404, 160.29372764021286)   distance=117.32546489759602     ¡Ì
point:(869.2753421106097, 314.7525250622096)   distance=24.7246578893903     ¡Ì
point:(592.8251530045093, -174.2960303383269)   distance=301.1748469954907
point:(809.6700490706933, 20.501225851595564)   distance=84.32995092930673     ¡Ì
point:(684.5244720670371, -2.7224574932993164)   distance=209.4755279329629
point:(869.2753421106097, 314.7525250622096)   distance=24.7246578893903     ¡Ì
point:(542.6451233925558, -520.137479213148)   distance=351.3548766074442
point:(738.6716552419128, 295.74672343950436)   distance=155.32834475808716
point:(878.61239562235, -424.9133154502108)   distance=15.38760437764995     ¡Ì
point:(828.544447781554, 440.472287847314)   distance=65.45555221844597     ¡Ì
point:(828.544447781554, 440.472287847314)   distance=65.45555221844597     ¡Ì
point:(1034.2226130102893, 215.66235726287903)   distance=140.22261301028925     ¡Ì
point:(782.8061875602964, 561.8525446430926)   distance=111.1938124397036     ¡Ì
point:(869.2753421106097, 314.7525250622096)   distance=24.7246578893903     ¡Ì
point:(962.3268930916543, 460.65393477269095)   distance=68.32689309165426     ¡Ì
point:(512.6072927167804, -424.8751634144651)   distance=381.3927072832196
point:(513.3808151461201, 551.9854218246606)   distance=380.6191848538799
point:(953.3337105094993, 330.3639496582303)   distance=59.33371050949927     ¡Ì
point:(904.9988705474635, 184.6932562877795)   distance=10.998870547463525     ¡Ì
point:(608.9673753909823, 283.31049414433215)   distance=285.0326246090177
point:(918.8679842940339, 576.6404645436082)   distance=24.86798429403393     ¡Ì
point:(918.8679842940339, 576.6404645436082)   distance=24.86798429403393     ¡Ì
point:(732.0605614468371, 678.8932954495456)   distance=161.93943855316286
point:(918.8679842940339, 576.6404645436082)   distance=24.86798429403393     ¡Ì
point:(940.1753064576931, 327.7472861122587)   distance=46.17530645769307     ¡Ì
point:(608.9673753909823, 283.31049414433215)   distance=285.0326246090177
point:(961.4238297445656, -88.44379922905819)   distance=67.42382974456564     ¡Ì
point:(869.2753421106097, 314.7525250622096)   distance=24.7246578893903     ¡Ì
point:(775.5502747127248, -626.8624326404713)   distance=118.44972528727521     ¡Ì
point:(828.544447781554, 440.472287847314)   distance=65.45555221844597     ¡Ì
point:(647.6437978443251, 553.6341970701102)   distance=246.35620215567485
point:(732.0605614468371, 678.8932954495456)   distance=161.93943855316286
point:(809.6700490706933, 20.501225851595564)   distance=84.32995092930673     ¡Ì
point:(694.9586901815346, 997.1915237340197)   distance=199.04130981846538
point:(1941.0743110516028, 1318.8907918943844)   distance=1047.0743110516028
point:(1405.4404652973208, 1267.1920084760181)   distance=511.44046529732077
point:(262.11930394997387, 1037.261205313408)   distance=631.8806960500261
point:(1034.2226130102893, 215.66235726287903)   distance=140.22261301028925     ¡Ì
point:(904.9988705474635, 184.6932562877795)   distance=10.998870547463525     ¡Ì
point:(915.9926160932569, 517.895822566223)   distance=21.992616093256856     ¡Ì
point:(870.4017096042119, 688.2874883251998)   distance=23.598290395788126     ¡Ì
point:(1100.8672892375107, 823.3046548016504)   distance=206.8672892375107
point:(730.0527462247953, -240.9614801260393)   distance=163.94725377520467
point:(642.8967571746275, -497.15347196163543)   distance=251.1032428253725
point:(656.7051690248721, 113.77368603662967)   distance=237.29483097512787
point:(695.66140948922, 426.8602132494701)   distance=198.33859051078002
point:(738.6716552419128, 295.74672343950436)   distance=155.32834475808716
point:(627.1783738765116, -378.9251486173632)   distance=266.8216261234884
point:(1116.3770498394276, 609.4764938653607)   distance=222.37704983942763
point:(551.782772252064, -26.555811752091813)   distance=342.217227747936
point:(563.6777782146521, 419.8177109791593)   distance=330.3222217853479
point:(546.1921531478094, -696.7508985465527)   distance=347.80784685219055
point:(584.2167772279017, -130.4811588228564)   distance=309.78322277209827
point:(355.15412383097237, -925.8672661739029)   distance=538.8458761690276
point:(1066.8672605719664, 355.57917561039187)   distance=172.86726057196643
point:(1000.7784359970726, 340.32789901244786)   distance=106.77843599707262     ¡Ì
point:(904.9988705474635, 184.6932562877795)   distance=10.998870547463525     ¡Ì
point:(649.2496066751106, 142.46377132017926)   distance=244.7503933248894
point:(586.7807833083399, -1013.506096307528)   distance=307.2192166916601
point:(869.2753421106097, 314.7525250622096)   distance=24.7246578893903     ¡Ì
point:(870.4017096042119, 688.2874883251998)   distance=23.598290395788126     ¡Ì
point:(821.4661922081923, -36.63083654086245)   distance=72.5338077918077     ¡Ì
point:(546.1921531478094, -696.7508985465527)   distance=347.80784685219055
point:(594.6188203072286, 676.0686749014244)   distance=299.3811796927714
point:(695.66140948922, 426.8602132494701)   distance=198.33859051078002
point:(962.3268930916543, 460.65393477269095)   distance=68.32689309165426     ¡Ì
point:(782.8061875602964, 561.8525446430926)   distance=111.1938124397036     ¡Ì
point:(962.3268930916543, 460.65393477269095)   distance=68.32689309165426     ¡Ì
point:(940.1753064576931, 327.7472861122587)   distance=46.17530645769307     ¡Ì
point:(962.3268930916543, 460.65393477269095)   distance=68.32689309165426     ¡Ì
point:(967.0424192098602, 564.3505760539612)   distance=73.04241920986021     ¡Ì
point:(869.2753421106097, 314.7525250622096)   distance=24.7246578893903     ¡Ì
point:(962.3268930916543, 460.65393477269095)   distance=68.32689309165426     ¡Ì
point:(536.5864768779302, 794.1636467434128)   distance=357.4135231220698
point:(1009.6422647793528, 704.251253528387)   distance=115.64226477935279     ¡Ì
point:(526.3880484774156, -523.4191917260484)   distance=367.6119515225844
point:(738.6716552419128, 295.74672343950436)   distance=155.32834475808716
point:(870.4017096042119, 688.2874883251998)   distance=23.598290395788126     ¡Ì
point:(866.6844866193812, 257.2827323760908)   distance=27.315513380618768     ¡Ì
point:(844.4481264274767, 562.872895927369)   distance=49.55187357252328     ¡Ì
point:(933.2501017314208, 611.7829373521928)   distance=39.25010173142084     ¡Ì
point:(563.6869483138121, -178.6099591061236)   distance=330.3130516861879
point:(732.0605614468371, 678.8932954495456)   distance=161.93943855316286
point:(1097.0087454195207, 487.4051540256009)   distance=203.00874541952066
point:(643.9115377220432, 162.44355077611817)   distance=250.08846227795675
point:(828.544447781554, 440.472287847314)   distance=65.45555221844597     ¡Ì
point:(647.6437978443251, 553.6341970701102)   distance=246.35620215567485
point:(647.6437978443251, 553.6341970701102)   distance=246.35620215567485
point:(809.6700490706933, 20.501225851595564)   distance=84.32995092930673     ¡Ì
point:(958.4479756209662, 806.1650442957914)   distance=64.44797562096619     ¡Ì
point:(1000.7784359970726, 340.32789901244786)   distance=106.77843599707262     ¡Ì
point:(660.0641162592832, -499.55601512837234)   distance=233.9358837407168
point:(695.66140948922, 426.8602132494701)   distance=198.33859051078002
point:(1587.392668977735, 1391.7010801675008)   distance=693.392668977735
point:(988.0153160914062, 1003.3262643187591)   distance=94.01531609140625     ¡Ì
point:(192.24410063596258, 943.5534965818775)   distance=701.7558993640374
point:(536.5864768779302, 794.1636467434128)   distance=357.4135231220698
point:(763.9011329928986, -390.76593244984906)   distance=130.09886700710138     ¡Ì
point:(828.544447781554, 440.472287847314)   distance=65.45555221844597     ¡Ì
point:(837.6581971467806, -123.63078192634748)   distance=56.341802853219406     ¡Ì
point:(647.6437978443251, 553.6341970701102)   distance=246.35620215567485
point:(962.3268930916543, 460.65393477269095)   distance=68.32689309165426     ¡Ì
point:(649.2496066751106, 142.46377132017926)   distance=244.7503933248894
point:(760.3048728896057, -464.31817986968963)   distance=133.6951271103943     ¡Ì
point:(935.7150330921155, 50.29448152402347)   distance=41.715033092115505     ¡Ì
point:(837.6581971467806, -123.63078192634748)   distance=56.341802853219406     ¡Ì
Y
point:(816.928069022188, 795.5950061174656)   distance=298.5950061174656
point:(594.6188203072286, 676.0686749014244)   distance=179.0686749014244
point:(975.627823078233, 271.30264371579216)   distance=225.69735628420784
point:(620.3646380356693, -333.55499815531834)   distance=830.5549981553183
point:(649.0076042289168, -327.56816753548924)   distance=824.5681675354892
point:(962.3268930916543, 460.65393477269095)   distance=36.346065227309055     ¡Ì
point:(690.9785612383582, -32.2804439747141)   distance=529.2804439747141
point:(710.2856666347618, -128.03245992517225)   distance=625.0324599251722
point:(1000.7784359970726, 340.32789901244786)   distance=156.67210098755214
point:(958.4479756209662, 806.1650442957914)   distance=309.1650442957914
point:(919.9956493458872, 23.041495826177993)   distance=473.958504173822
point:(906.5423736476998, 74.60051271730947)   distance=422.39948728269053
point:(776.674535102404, 160.29372764021286)   distance=336.70627235978714
point:(869.2753421106097, 314.7525250622096)   distance=182.2474749377904
point:(592.8251530045093, -174.2960303383269)   distance=671.2960303383269
point:(809.6700490706933, 20.501225851595564)   distance=476.49877414840444
point:(684.5244720670371, -2.7224574932993164)   distance=499.7224574932993
point:(869.2753421106097, 314.7525250622096)   distance=182.2474749377904
point:(542.6451233925558, -520.137479213148)   distance=1017.137479213148
point:(738.6716552419128, 295.74672343950436)   distance=201.25327656049564
point:(878.61239562235, -424.9133154502108)   distance=921.9133154502108
point:(828.544447781554, 440.472287847314)   distance=56.52771215268598     ¡Ì
point:(828.544447781554, 440.472287847314)   distance=56.52771215268598     ¡Ì
point:(1034.2226130102893, 215.66235726287903)   distance=281.337642737121
point:(782.8061875602964, 561.8525446430926)   distance=64.85254464309264     ¡Ì
point:(869.2753421106097, 314.7525250622096)   distance=182.2474749377904
point:(962.3268930916543, 460.65393477269095)   distance=36.346065227309055     ¡Ì
point:(512.6072927167804, -424.8751634144651)   distance=921.8751634144651
point:(513.3808151461201, 551.9854218246606)   distance=54.98542182466065     ¡Ì
point:(953.3337105094993, 330.3639496582303)   distance=166.6360503417697
point:(904.9988705474635, 184.6932562877795)   distance=312.3067437122205
point:(608.9673753909823, 283.31049414433215)   distance=213.68950585566785
point:(918.8679842940339, 576.6404645436082)   distance=79.64046454360823     ¡Ì
point:(918.8679842940339, 576.6404645436082)   distance=79.64046454360823     ¡Ì
point:(732.0605614468371, 678.8932954495456)   distance=181.89329544954558
point:(918.8679842940339, 576.6404645436082)   distance=79.64046454360823     ¡Ì
point:(940.1753064576931, 327.7472861122587)   distance=169.25271388774132
point:(608.9673753909823, 283.31049414433215)   distance=213.68950585566785
point:(961.4238297445656, -88.44379922905819)   distance=585.4437992290582
point:(869.2753421106097, 314.7525250622096)   distance=182.2474749377904
point:(775.5502747127248, -626.8624326404713)   distance=1123.8624326404713
point:(828.544447781554, 440.472287847314)   distance=56.52771215268598     ¡Ì
point:(647.6437978443251, 553.6341970701102)   distance=56.63419707011019     ¡Ì
point:(732.0605614468371, 678.8932954495456)   distance=181.89329544954558
point:(809.6700490706933, 20.501225851595564)   distance=476.49877414840444
point:(694.9586901815346, 997.1915237340197)   distance=500.1915237340197
point:(1983.365008999303, 1426.0180021257834)   distance=929.0180021257834
point:(1941.0743110516028, 1318.8907918943844)   distance=821.8907918943844
point:(1405.4404652973208, 1267.1920084760181)   distance=770.1920084760181
point:(262.11930394997387, 1037.261205313408)   distance=540.261205313408
point:(1034.2226130102893, 215.66235726287903)   distance=281.337642737121
point:(904.9988705474635, 184.6932562877795)   distance=312.3067437122205
point:(915.9926160932569, 517.895822566223)   distance=20.895822566223046     ¡Ì
point:(870.4017096042119, 688.2874883251998)   distance=191.28748832519977
point:(1100.8672892375107, 823.3046548016504)   distance=326.3046548016504
point:(730.0527462247953, -240.9614801260393)   distance=737.9614801260393
point:(642.8967571746275, -497.15347196163543)   distance=994.1534719616354
point:(656.7051690248721, 113.77368603662967)   distance=383.22631396337033
point:(695.66140948922, 426.8602132494701)   distance=70.13978675052988     ¡Ì
point:(738.6716552419128, 295.74672343950436)   distance=201.25327656049564
point:(627.1783738765116, -378.9251486173632)   distance=875.9251486173632
point:(1116.3770498394276, 609.4764938653607)   distance=112.47649386536068     ¡Ì
point:(551.782772252064, -26.555811752091813)   distance=523.5558117520918
point:(563.6777782146521, 419.8177109791593)   distance=77.1822890208407     ¡Ì
point:(546.1921531478094, -696.7508985465527)   distance=1193.7508985465527
point:(584.2167772279017, -130.4811588228564)   distance=627.4811588228564
point:(902.2463205703776, 903.7393290738701)   distance=406.73932907387007
point:(355.15412383097237, -925.8672661739029)   distance=1422.8672661739029
point:(1066.8672605719664, 355.57917561039187)   distance=141.42082438960813     ¡Ì
point:(1000.7784359970726, 340.32789901244786)   distance=156.67210098755214
point:(904.9988705474635, 184.6932562877795)   distance=312.3067437122205
point:(649.2496066751106, 142.46377132017926)   distance=354.53622867982074
point:(869.2753421106097, 314.7525250622096)   distance=182.2474749377904
point:(870.4017096042119, 688.2874883251998)   distance=191.28748832519977
point:(821.4661922081923, -36.63083654086245)   distance=533.6308365408624
point:(546.1921531478094, -696.7508985465527)   distance=1193.7508985465527
point:(594.6188203072286, 676.0686749014244)   distance=179.0686749014244
point:(695.66140948922, 426.8602132494701)   distance=70.13978675052988     ¡Ì
point:(962.3268930916543, 460.65393477269095)   distance=36.346065227309055     ¡Ì
point:(782.8061875602964, 561.8525446430926)   distance=64.85254464309264     ¡Ì
point:(962.3268930916543, 460.65393477269095)   distance=36.346065227309055     ¡Ì
point:(940.1753064576931, 327.7472861122587)   distance=169.25271388774132
point:(962.3268930916543, 460.65393477269095)   distance=36.346065227309055     ¡Ì
point:(967.0424192098602, 564.3505760539612)   distance=67.35057605396116     ¡Ì
point:(869.2753421106097, 314.7525250622096)   distance=182.2474749377904
point:(962.3268930916543, 460.65393477269095)   distance=36.346065227309055     ¡Ì
point:(536.5864768779302, 794.1636467434128)   distance=297.16364674341276
point:(1009.6422647793528, 704.251253528387)   distance=207.251253528387
point:(526.3880484774156, -523.4191917260484)   distance=1020.4191917260484
point:(738.6716552419128, 295.74672343950436)   distance=201.25327656049564
point:(870.4017096042119, 688.2874883251998)   distance=191.28748832519977
point:(866.6844866193812, 257.2827323760908)   distance=239.7172676239092
point:(844.4481264274767, 562.872895927369)   distance=65.87289592736897     ¡Ì
point:(933.2501017314208, 611.7829373521928)   distance=114.78293735219279     ¡Ì
point:(563.6869483138121, -178.6099591061236)   distance=675.6099591061236
point:(732.0605614468371, 678.8932954495456)   distance=181.89329544954558
point:(643.9115377220432, 162.44355077611817)   distance=334.5564492238818
point:(828.544447781554, 440.472287847314)   distance=56.52771215268598     ¡Ì
point:(647.6437978443251, 553.6341970701102)   distance=56.63419707011019     ¡Ì
point:(647.6437978443251, 553.6341970701102)   distance=56.63419707011019     ¡Ì
point:(809.6700490706933, 20.501225851595564)   distance=476.49877414840444
point:(958.4479756209662, 806.1650442957914)   distance=309.1650442957914
point:(1000.7784359970726, 340.32789901244786)   distance=156.67210098755214
point:(660.0641162592832, -499.55601512837234)   distance=996.5560151283723
point:(695.66140948922, 426.8602132494701)   distance=70.13978675052988     ¡Ì
point:(1587.392668977735, 1391.7010801675008)   distance=894.7010801675008
point:(988.0153160914062, 1003.3262643187591)   distance=506.32626431875906
point:(192.24410063596258, 943.5534965818775)   distance=446.55349658187754
point:(536.5864768779302, 794.1636467434128)   distance=297.16364674341276
point:(763.9011329928986, -390.76593244984906)   distance=887.7659324498491
point:(828.544447781554, 440.472287847314)   distance=56.52771215268598     ¡Ì
point:(837.6581971467806, -123.63078192634748)   distance=620.6307819263475
point:(647.6437978443251, 553.6341970701102)   distance=56.63419707011019     ¡Ì
point:(962.3268930916543, 460.65393477269095)   distance=36.346065227309055     ¡Ì
point:(649.2496066751106, 142.46377132017926)   distance=354.53622867982074
point:(760.3048728896057, -464.31817986968963)   distance=961.3181798696896
point:(935.7150330921155, 50.29448152402347)   distance=446.70551847597653
point:(837.6581971467806, -123.63078192634748)   distance=620.6307819263475
XY
realPoint:(247,466)
critical distance is 144.00
point:(-19.813282176256166, -601.048812573099)   distance=1099.9011300836667
point:(122.81964129479024, 841.2884001388313)   distance=395.3000692725946
point:(-180.15091907923545, 70.32105550358733)   distance=582.2540122558459
point:(271.09864473354855, 233.71214542231246)   distance=233.5345628858793
point:(160.4184751444276, 170.72563176627693)   distance=307.7065371131078
point:(446.62826978159256, 514.0645220439736)   distance=205.3330084893998
point:(-19.933049767268244, 419.1664740905215)   distance=271.01039132691704
point:(448.7656221006886, 521.9640157642211)   distance=209.38323075675342
point:(-101.83574715905115, 1218.079822952594)   distance=829.0418798760522
point:(235.00118742597908, 382.2603712429742)   distance=84.5948989452141     ¡Ì
point:(124.61296408918622, 317.226775864826)   distance=192.64490332892157
point:(-14.677045469037807, 611.0860441181928)   distance=299.20701249013376
point:(126.72387550835265, 590.1770241691822)   distance=172.87648612302345
point:(-13.303823197390557, 870.1357959257036)   distance=480.7117867492749
point:(186.04104569015374, 52.96448935136527)   distance=417.50967314222595
point:(186.04104569015374, 52.96448935136527)   distance=417.50967314222595
point:(44.73732329404322, 457.34342517324603)   distance=202.44783692593404
point:(95.42172531244785, 635.9066138419707)   distance=227.69328225597604
point:(17.83020333356251, -149.3524448716753)   distance=656.6410184520036
point:(173.12332649754615, 438.1076381334248)   distance=78.96674450858504     ¡Ì
point:(-71.9412887843888, 191.51449372563752)   distance=420.7919187034608
point:(225.25097794478802, 285.41924022401366)   distance=181.88576294375153
point:(-85.47195231605599, -163.63935592942846)   distance=712.0276101472999
point:(215.2458892533981, 5.403600542486288)   distance=461.68968663219346
point:(20.81181773418325, 261.3604577666381)   distance=305.0220255033958
point:(-85.86460566752669, 207.33920858210013)   distance=421.5498199775827
point:(243.7967347980782, 349.33536014772693)   distance=116.70860765091162     ¡Ì
point:(-85.86460566752669, 207.33920858210013)   distance=421.5498199775827
point:(76.89055794941271, 112.29734193914248)   distance=392.48285643334543
point:(279.6194619226029, -245.73658137712232)   distance=712.4836774035691
point:(-12.749295440292713, 21.239384764161514)   distance=515.0550469092503
point:(20.81181773418325, 261.3604577666381)   distance=305.0220255033958
point:(-22.8819149958764, 15.975802627960434)   distance=524.7456776974822
point:(192.93623423007512, -29.921467597548713)   distance=498.85969249211934
point:(-85.86460566752669, 207.33920858210013)   distance=421.5498199775827
point:(150.60883965887035, -377.62553514832643)   distance=849.1144206443614
point:(-85.86460566752669, 207.33920858210013)   distance=421.5498199775827
point:(8.904449708819925, 313.2954626349531)   distance=282.8571491059274
point:(-22.8819149958764, 15.975802627960434)   distance=524.7456776974822
point:(448.7656221006886, 521.9640157642211)   distance=209.38323075675342
point:(-85.86460566752669, 207.33920858210013)   distance=421.5498199775827
point:(-118.75776127619145, 845.1546009437648)   distance=526.8177591450358
point:(380.01723946568137, 556.9062189067441)   distance=161.11339680793557
point:(-26.062918597176918, 319.6729325814664)   distance=309.79827012447396
point:(132.18717721951282, 316.2681683455926)   distance=188.68387765097302
point:(242.26586431586577, -75.23365956560349)   distance=541.2543637583454
point:(20.81181773418325, 261.3604577666381)   distance=305.0220255033958
point:(59.72438049435277, 28.34349480152548)   distance=476.04135766104014
point:(61.22981173896176, 31.515590268621963)   distance=472.5328191207099
point:(314.48418316266634, -32.976073562785814)   distance=503.5188546273783
point:(173.12332649754615, 438.1076381334248)   distance=78.96674450858504     ¡Ì
point:(25.61606980513784, 151.85757463300683)   distance=384.3127736154244
point:(32.47878392862037, 1006.82966873242)   distance=581.821349493092
point:(307.2040813371558, 127.20307044914307)   distance=344.1044766967428
point:(1346.0443455349543, 1407.7355055741034)   distance=1447.3300369685098
point:(2307.867907466637, 1391.084429713785)   distance=2258.972716551662
point:(-166.3111704611007, 18.65978426336096)   distance=609.0479391995574
point:(113.95194893316136, -196.79165923188953)   distance=676.0137331741458
point:(192.93623423007512, -29.921467597548713)   distance=498.85969249211934
point:(164.19916176610639, 80.62777533698352)   distance=394.1671350505492
point:(8.904449708819925, 313.2954626349531)   distance=282.8571491059274
point:(247.55307080300872, 568.3965883163606)   distance=102.39808194562721     ¡Ì
